"","English.Word","Emotion","Emotion.Intensity.Score","Spanish.Word","negativas","positivas","intensidad"
"64","assault","anger",0.859,"agresión",-0.859,0,-0.859
"65","explode","anger",0.859,"explotar",-0.859,0,-0.859
"66","tirade","anger",0.859,"diatriba",-0.859,0,-0.859
"67","loathsome","anger",0.857,"repugnante",-0.857,0,-0.857
"68","hell","anger",0.853,"infierno",-0.853,0,-0.853
"69","murderous","anger",0.853,"asesino",-0.853,0,-0.853
"70","attack","anger",0.853,"ataque",-0.853,0,-0.853
"71","malice","anger",0.852,"malicia",-0.852,0,-0.852
"72","terrorism","anger",0.851,"terrorismo",-0.851,0,-0.851
"73","beating","anger",0.849,"golpeando",-0.849,0,-0.849
"74","outrage","anger",0.848,"indignacion",-0.848,0,-0.848
"75","desecration","anger",0.848,"profanación",-0.848,0,-0.848
"76","pissingmeoff","anger",0.848,"pissingmeoff",-0.848,0,-0.848
"77","destroying","anger",0.844,"destruyendo",-0.844,0,-0.844
"78","slaughter","anger",0.844,"sacrificio",-0.844,0,-0.844
"79","irate","anger",0.844,"airado",-0.844,0,-0.844
"80","violent","anger",0.844,"violento",-0.844,0,-0.844
"81","stab","anger",0.844,"puñalada",-0.844,0,-0.844
"82","abomination","anger",0.844,"abominación",-0.844,0,-0.844
"83","tumultuous","anger",0.844,"tumultuoso",-0.844,0,-0.844
"84","infuriate","anger",0.844,"enfurecer",-0.844,0,-0.844
"85","obliterate","anger",0.843,"obliterar",-0.843,0,-0.843
"86","belligerent","anger",0.841,"beligerante",-0.841,0,-0.841
"87","dumbbitch","anger",0.841,"idiota",-0.841,0,-0.841
"88","detest","anger",0.838,"detestar",-0.838,0,-0.838
"89","hostilities","anger",0.837,"hostilidades",-0.837,0,-0.837
"90","prick","anger",0.835,"pinchazo",-0.835,0,-0.835
"91","rampage","anger",0.833,"alboroto",-0.833,0,-0.833
"92","horrid","anger",0.833,"horrible",-0.833,0,-0.833
"93","cruelty","anger",0.833,"crueldad",-0.833,0,-0.833
"94","torture","anger",0.833,"tortura",-0.833,0,-0.833
"95","rabid","anger",0.833,"rabioso",-0.833,0,-0.833
"96","despicable","anger",0.828,"despreciable",-0.828,0,-0.828
"97","tyrannical","anger",0.828,"tiránico",-0.828,0,-0.828
"98","demonic","anger",0.828,"demoníaco",-0.828,0,-0.828
"99","satanic","anger",0.828,"satánico",-0.828,0,-0.828
"100","hate","anger",0.828,"odio",-0.828,0,-0.828
"101","ragemode","anger",0.828,"modo furia",-0.828,0,-0.828
"102","hating","anger",0.828,"odiando",-0.828,0,-0.828
"103","ruinous","anger",0.825,"ruinoso",-0.825,0,-0.825
"104","condemn","anger",0.825,"condenar",-0.825,0,-0.825
"105","riots","anger",0.824,"disturbios",-0.824,0,-0.824
"106","demolish","anger",0.824,"demoler",-0.824,0,-0.824
"107","angry","anger",0.824,"enfadado",-0.824,0,-0.824
"108","extermination","anger",0.824,"exterminio",-0.824,0,-0.824
"109","dickhead","anger",0.824,"gilipollas",-0.824,0,-0.824
"110","livid","anger",0.821,"lívido",-0.821,0,-0.821
"111","madman","anger",0.82,"loco",-0.82,0,-0.82
"112","vindictive","anger",0.819,"vengativo",-0.819,0,-0.819
"113","terrorist","anger",0.818,"terrorista",-0.818,0,-0.818
"114","threaten","anger",0.818,"amenazar",-0.818,0,-0.818
"115","venomous","anger",0.818,"venenoso",-0.818,0,-0.818
"116","hateyou","anger",0.818,"te odio",-0.818,0,-0.818
"117","ferocity","anger",0.818,"ferocidad",-0.818,0,-0.818
"118","effyou","anger",0.818,"gracias",-0.818,0,-0.818
"119","abhor","anger",0.816,"aborrecer",-0.816,0,-0.816
"120","carnage","anger",0.814,"carnicería",-0.814,0,-0.814
"121","savage","anger",0.814,"salvaje",-0.814,0,-0.814
"122","atrocity","anger",0.814,"atrocidad",-0.814,0,-0.814
"123","fucksake","anger",0.812,"maldito",-0.812,0,-0.812
"124","abuse","anger",0.812,"abuso",-0.812,0,-0.812
"125","fierce","anger",0.812,"intenso",-0.812,0,-0.812
"126","destroyer","anger",0.812,"destructor",-0.812,0,-0.812
"127","angrytweet","anger",0.812,"tuit enojado",-0.812,0,-0.812
"128","barbaric","anger",0.812,"bárbaro",-0.812,0,-0.812
"129","vendetta","anger",0.812,"vendetta",-0.812,0,-0.812
"130","pissesmeoff","anger",0.812,"me enoja",-0.812,0,-0.812
"131","pissedoff","anger",0.812,"enfadado",-0.812,0,-0.812
"132","tyrant","anger",0.812,"tirano",-0.812,0,-0.812
"133","berserk","anger",0.812,"enloquecido",-0.812,0,-0.812
"134","fuming","anger",0.812,"echando humo",-0.812,0,-0.812
"135","anger","anger",0.811,"enfado",-0.811,0,-0.811
"136","pieceofshit","anger",0.81,"pedazo de mierda",-0.81,0,-0.81
"137","punched","anger",0.803,"perforado",-0.803,0,-0.803
"138","punching","anger",0.803,"puñetazos",-0.803,0,-0.803
"139","slam","anger",0.803,"golpe",-0.803,0,-0.803
"140","homicide","anger",0.803,"homicidio",-0.803,0,-0.803
"141","bitch","anger",0.803,"perra",-0.803,0,-0.803
"142","fights","anger",0.803,"peleas",-0.803,0,-0.803
"143","ruthless","anger",0.797,"implacable",-0.797,0,-0.797
"144","villainous","anger",0.797,"villano",-0.797,0,-0.797
"145","destructive","anger",0.797,"destructivo",-0.797,0,-0.797
"146","slap","anger",0.791,"bofetada",-0.791,0,-0.791
"147","riot","anger",0.788,"disturbio",-0.788,0,-0.788
"148","growthefuckup","anger",0.788,"crecimiento",-0.788,0,-0.788
"149","punishing","anger",0.788,"agotador",-0.788,0,-0.788
"150","slaughterhouse","anger",0.788,"matadero",-0.788,0,-0.788
"151","yelling","anger",0.788,"gritando",-0.788,0,-0.788
"152","diabolical","anger",0.788,"diabólico",-0.788,0,-0.788
"153","destroyed","anger",0.788,"destruido",-0.788,0,-0.788
"154","ragetweet","anger",0.788,"tuit de rabia",-0.788,0,-0.788
"155","retaliatory","anger",0.788,"vengativo",-0.788,0,-0.788
"156","manslaughter","anger",0.783,"homicidio involuntario",-0.783,0,-0.783
"157","clash","anger",0.783,"choque",-0.783,0,-0.783
"158","quarrel","anger",0.781,"disputa",-0.781,0,-0.781
"159","bloody","anger",0.781,"sangriento",-0.781,0,-0.781
"160","hellish","anger",0.781,"infernal",-0.781,0,-0.781
"161","sinister","anger",0.781,"siniestro",-0.781,0,-0.781
"162","loath","anger",0.781,"poco dispuesto",-0.781,0,-0.781
"163","detonation","anger",0.781,"detonación",-0.781,0,-0.781
"164","accusing","anger",0.779,"acusando",-0.779,0,-0.779
"165","fumin","anger",0.779,"fumando",-0.779,0,-0.779
"166","hateeee","anger",0.779,"odio",-0.779,0,-0.779
"167","treacherous","anger",0.779,"traicionero",-0.779,0,-0.779
"168","madder","anger",0.773,"rubia",-0.773,0,-0.773
"169","horrific","anger",0.773,"horrendo",-0.773,0,-0.773
"170","revulsion","anger",0.773,"repugnancia",-0.773,0,-0.773
"171","retaliate","anger",0.773,"tomar represalias",-0.773,0,-0.773
"172","scorn","anger",0.769,"desdén",-0.769,0,-0.769
"173","bomb","anger",0.766,"bomba",-0.766,0,-0.766
"174","deplorable","anger",0.766,"deplorable",-0.766,0,-0.766
"175","devastation","anger",0.765,"devastación",-0.765,0,-0.765
"176","anarchist","anger",0.765,"anarquista",-0.765,0,-0.765
"177","firestorm","anger",0.765,"tormenta de fuego",-0.765,0,-0.765
"178","resent","anger",0.765,"resentirse de",-0.765,0,-0.765
"179","contemptible","anger",0.764,"despreciable",-0.764,0,-0.764
"180","shittest","anger",0.76,"mierda",-0.76,0,-0.76
"181","rant","anger",0.758,"despotricar",-0.758,0,-0.758
"182","cruel","anger",0.758,"cruel",-0.758,0,-0.758
"183","deadly","anger",0.758,"mortal",-0.758,0,-0.758
"184","smash","anger",0.758,"aplastar",-0.758,0,-0.758
"185","soangry","anger",0.758,"tan enojado",-0.758,0,-0.758
"186","outburst","anger",0.757,"explosión",-0.757,0,-0.757
"187","snarl","anger",0.754,"gruñido",-0.754,0,-0.754
"188","profane","anger",0.75,"profano",-0.75,0,-0.75
"189","revolting","anger",0.75,"repugnante",-0.75,0,-0.75
"190","aggravating","anger",0.75,"agravante",-0.75,0,-0.75
"191","horror","anger",0.75,"horror",-0.75,0,-0.75
"192","despise","anger",0.75,"despreciar",-0.75,0,-0.75
"193","offend","anger",0.75,"ofender",-0.75,0,-0.75
"194","stfu","anger",0.75,"cosas",-0.75,0,-0.75
"195","vulgarity","anger",0.75,"vulgaridad",-0.75,0,-0.75
"196","crazed","anger",0.75,"loco",-0.75,0,-0.75
"197","douchebags","anger",0.75,"idiotas",-0.75,0,-0.75
"198","growling","anger",0.75,"gruñendo",-0.75,0,-0.75
"199","dontmesswithme","anger",0.75,"no te metas conmigo",-0.75,0,-0.75
"200","screaming","anger",0.742,"gritando",-0.742,0,-0.742
"201","threat","anger",0.742,"amenaza",-0.742,0,-0.742
"202","erupt","anger",0.742,"estallar",-0.742,0,-0.742
"203","horrible","anger",0.742,"horrible",-0.742,0,-0.742
"204","molestation","anger",0.742,"acoso",-0.742,0,-0.742
"205","fuckedoff","anger",0.742,"jodido",-0.742,0,-0.742
"206","violence","anger",0.742,"violencia",-0.742,0,-0.742
"207","bastards","anger",0.741,"bastardos",-0.741,0,-0.741
"208","revenge","anger",0.738,"venganza",-0.738,0,-0.738
"209","menacing","anger",0.735,"amenazador",-0.735,0,-0.735
"210","crushing","anger",0.735,"aplastante",-0.735,0,-0.735
"211","damn","anger",0.735,"maldita sea",-0.735,0,-0.735
"212","catastrophe","anger",0.735,"catástrofe",-0.735,0,-0.735
"213","demon","anger",0.735,"demonio",-0.735,0,-0.735
"214","argue","anger",0.734,"discutir",-0.734,0,-0.734
"215","persecute","anger",0.734,"perseguir",-0.734,0,-0.734
"216","deplore","anger",0.734,"deplorar",-0.734,0,-0.734
"217","flog","anger",0.734,"azotar",-0.734,0,-0.734
"218","fedup","anger",0.734,"harto",-0.734,0,-0.734
"219","riotous","anger",0.734,"desenfrenado",-0.734,0,-0.734
"220","vehement","anger",0.734,"vehemente",-0.734,0,-0.734
"221","revolt","anger",0.734,"revuelta",-0.734,0,-0.734
"222","warfare","anger",0.734,"guerra",-0.734,0,-0.734
"223","thrash","anger",0.734,"movimiento de piernas",-0.734,0,-0.734
"224","altercation","anger",0.729,"altercado",-0.729,0,-0.729
"225","warlike","anger",0.728,"belicoso",-0.728,0,-0.728
"226","shitday","anger",0.727,"mierda",-0.727,0,-0.727
"227","mutiny","anger",0.727,"motín",-0.727,0,-0.727
"228","castrate","anger",0.727,"castrar",-0.727,0,-0.727
"229","sabotage","anger",0.727,"sabotaje",-0.727,0,-0.727
"230","malevolent","anger",0.721,"malévolo",-0.721,0,-0.721
"231","strike","anger",0.721,"huelga",-0.721,0,-0.721
"232","disaster","anger",0.721,"desastre",-0.721,0,-0.721
"233","disastrous","anger",0.72,"desastroso",-0.72,0,-0.72
"234","bastarding","anger",0.719,"bastardo",-0.719,0,-0.719
"235","treachery","anger",0.719,"traición",-0.719,0,-0.719
"236","arseholes","anger",0.719,"pendejos",-0.719,0,-0.719
"237","horseshit","anger",0.719,"mierda de caballo",-0.719,0,-0.719
"238","slay","anger",0.719,"matar",-0.719,0,-0.719
"239","disdain","anger",0.719,"desdén",-0.719,0,-0.719
"240","aggravates","anger",0.719,"agrava",-0.719,0,-0.719
"241","brutal","anger",0.719,"brutal",-0.719,0,-0.719
"242","scorching","anger",0.719,"abrasador",-0.719,0,-0.719
"243","devil","anger",0.719,"demonio",-0.719,0,-0.719
"244","madden","anger",0.719,"enloquecer",-0.719,0,-0.719
"245","spiteful","anger",0.719,"malévolo",-0.719,0,-0.719
"246","scream","anger",0.719,"grito",-0.719,0,-0.719
"247","choke","anger",0.719,"ahogo",-0.719,0,-0.719
"248","vermin","anger",0.719,"alimañas",-0.719,0,-0.719
"249","tumult","anger",0.719,"tumulto",-0.719,0,-0.719
"250","criminal","anger",0.714,"delincuente",-0.714,0,-0.714
"251","mangle","anger",0.714,"mutilar",-0.714,0,-0.714
"252","anarchism","anger",0.714,"anarquismo",-0.714,0,-0.714
"253","mutilation","anger",0.714,"mutilación",-0.714,0,-0.714
"254","denunciation","anger",0.713,"denuncia",-0.713,0,-0.713
"255","punch","anger",0.713,"puñetazo",-0.713,0,-0.713
"256","virulence","anger",0.712,"virulencia",-0.712,0,-0.712
"257","fatal","anger",0.712,"fatal",-0.712,0,-0.712
"258","hurting","anger",0.712,"lastimando",-0.712,0,-0.712
"259","crucifixion","anger",0.712,"crucifixión",-0.712,0,-0.712
"260","dontlikeyou","anger",0.712,"no me gustas",-0.712,0,-0.712
"261","blasphemous","anger",0.712,"blasfemo",-0.712,0,-0.712
"262","holocaust","anger",0.712,"holocausto",-0.712,0,-0.712
"263","dumbasses","anger",0.712,"tontos",-0.712,0,-0.712
"264","battled","anger",0.712,"luchó",-0.712,0,-0.712
"265","deranged","anger",0.706,"trastornado",-0.706,0,-0.706
"266","irritated","anger",0.706,"irritado",-0.706,0,-0.706
"267","atrocious","anger",0.706,"atroz",-0.706,0,-0.706
"268","evil","anger",0.706,"demonio",-0.706,0,-0.706
"269","aggravated","anger",0.703,"agravado",-0.703,0,-0.703
"270","intimidation","anger",0.703,"intimidación",-0.703,0,-0.703
"271","dicks","anger",0.703,"pollas",-0.703,0,-0.703
"272","assassin","anger",0.703,"asesino",-0.703,0,-0.703
"273","scolding","anger",0.703,"regaño",-0.703,0,-0.703
"274","persecution","anger",0.703,"persecucion",-0.703,0,-0.703
"275","slayer","anger",0.703,"asesino",-0.703,0,-0.703
"276","kidnap","anger",0.703,"secuestrar",-0.703,0,-0.703
"277","aggression","anger",0.702,"agresión",-0.702,0,-0.702
"278","armed","anger",0.7,"armado",-0.7,0,-0.7
"279","battle","anger",0.697,"batalla",-0.697,0,-0.697
"280","poison","anger",0.697,"veneno",-0.697,0,-0.697
"281","snarling","anger",0.697,"gruñendo",-0.697,0,-0.697
"282","venom","anger",0.697,"veneno",-0.697,0,-0.697
"283","disgruntled","anger",0.693,"descontento",-0.693,0,-0.693
"284","resentment","anger",0.691,"resentimiento",-0.691,0,-0.691
"285","assailant","anger",0.691,"agresor",-0.691,0,-0.691
"286","insidious","anger",0.691,"insidioso",-0.691,0,-0.691
"287","contemptuous","anger",0.69,"desdeñoso",-0.69,0,-0.69
"288","lynch","anger",0.69,"linchar",-0.69,0,-0.69
"289","temper","anger",0.688,"temperamento",-0.688,0,-0.688
"290","terrible","anger",0.688,"horrible",-0.688,0,-0.688
"291","disparage","anger",0.688,"menospreciar",-0.688,0,-0.688
"292","lunatic","anger",0.688,"lunático",-0.688,0,-0.688
"293","bully","anger",0.688,"matón",-0.688,0,-0.688
"294","mad","anger",0.688,"enojado",-0.688,0,-0.688
"295","makesmemad","anger",0.688,"me enfurece",-0.688,0,-0.688
"296","infanticide","anger",0.688,"infanticidio",-0.688,0,-0.688
"297","domination","anger",0.688,"dominación",-0.688,0,-0.688
"298","peeved","anger",0.688,"furioso",-0.688,0,-0.688
"299","imprisonment","anger",0.688,"prisión",-0.688,0,-0.688
"300","curse","anger",0.688,"maldición",-0.688,0,-0.688
"301","volatility","anger",0.687,"volatilidad",-0.687,0,-0.687
"302","eradication","anger",0.685,"erradicación",-0.685,0,-0.685
"303","eradicate","anger",0.682,"erradicar",-0.682,0,-0.682
"304","tantrum","anger",0.682,"berrinche",-0.682,0,-0.682
"305","scoundrel","anger",0.682,"sinvergüenza",-0.682,0,-0.682
"306","devastate","anger",0.682,"devastar",-0.682,0,-0.682
"307","aggressively","anger",0.68,"agresivamente",-0.68,0,-0.68
"308","agitation","anger",0.68,"agitación",-0.68,0,-0.68
"309","dictatorship","anger",0.676,"dictadura",-0.676,0,-0.676
"310","irritates","anger",0.676,"irrita",-0.676,0,-0.676
"311","profanity","anger",0.673,"blasfemia",-0.673,0,-0.673
"312","shove","anger",0.672,"empujón",-0.672,0,-0.672
"313","nasty","anger",0.672,"asqueroso",-0.672,0,-0.672
"314","shot","anger",0.672,"disparo",-0.672,0,-0.672
"315","cruelly","anger",0.672,"con crueldad",-0.672,0,-0.672
"316","shoot","anger",0.672,"disparar",-0.672,0,-0.672
"317","condemnation","anger",0.672,"condenación",-0.672,0,-0.672
"318","crushed","anger",0.672,"aplastada",-0.672,0,-0.672
"319","aggravation","anger",0.672,"agravación",-0.672,0,-0.672
"320","poisonous","anger",0.672,"venenoso",-0.672,0,-0.672
"321","egregious","anger",0.672,"enorme",-0.672,0,-0.672
"322","crime","anger",0.672,"delito",-0.672,0,-0.672
"323","corrupting","anger",0.672,"corrompiendo",-0.672,0,-0.672
"324","dastardly","anger",0.672,"ruin",-0.672,0,-0.672
"325","contempt","anger",0.672,"desprecio",-0.672,0,-0.672
"326","harmful","anger",0.672,"dañino",-0.672,0,-0.672
"327","expletive","anger",0.672,"expletivo",-0.672,0,-0.672
"328","wreak","anger",0.672,"infligir",-0.672,0,-0.672
"329","maniac","anger",0.67,"maníaco",-0.67,0,-0.67
"330","cutthroat","anger",0.667,"asesino",-0.667,0,-0.667
"331","enemy","anger",0.667,"enemigo",-0.667,0,-0.667
"332","hit","anger",0.667,"pegar",-0.667,0,-0.667
"333","hateeveryone","anger",0.667,"odio a todos",-0.667,0,-0.667
"334","eruption","anger",0.667,"erupción",-0.667,0,-0.667
"335","irritable","anger",0.667,"irritable",-0.667,0,-0.667
"336","odious","anger",0.667,"odioso",-0.667,0,-0.667
"337","shooting","anger",0.667,"tiroteo",-0.667,0,-0.667
"338","shout","anger",0.667,"grito",-0.667,0,-0.667
"339","aggressive","anger",0.667,"agresivo",-0.667,0,-0.667
"340","kick","anger",0.667,"patada",-0.667,0,-0.667
"341","combat","anger",0.667,"combate",-0.667,0,-0.667
"342","fight","anger",0.667,"lucha",-0.667,0,-0.667
"343","punished","anger",0.662,"castigado",-0.662,0,-0.662
"344","yell","anger",0.661,"gritar",-0.661,0,-0.661
"345","ambush","anger",0.661,"emboscada",-0.661,0,-0.661
"346","harass","anger",0.659,"acosar",-0.659,0,-0.659
"347","malignant","anger",0.656,"maligno",-0.656,0,-0.656
"348","aggressor","anger",0.656,"agresor",-0.656,0,-0.656
"349","gore","anger",0.656,"sangre",-0.656,0,-0.656
"350","destruction","anger",0.656,"destrucción",-0.656,0,-0.656
"351","grudge","anger",0.656,"resentimiento",-0.656,0,-0.656
"352","antichrist","anger",0.656,"antecristo",-0.656,0,-0.656
"353","incense","anger",0.656,"incienso",-0.656,0,-0.656
"354","expel","anger",0.656,"expulsar",-0.656,0,-0.656
"355","cranky","anger",0.653,"de maniático",-0.653,0,-0.653
"356","slave","anger",0.652,"esclavo",-0.652,0,-0.652
"357","reprisal","anger",0.652,"represalia",-0.652,0,-0.652
"358","growl","anger",0.652,"gruñido",-0.652,0,-0.652
"359","animosity","anger",0.652,"animosidad",-0.652,0,-0.652
"360","insurrection","anger",0.652,"insurrección",-0.652,0,-0.652
"361","clashing","anger",0.652,"chocando",-0.652,0,-0.652
"362","denounce","anger",0.652,"denunciar",-0.652,0,-0.652
"363","offended","anger",0.652,"ofendido",-0.652,0,-0.652
"364","spank","anger",0.652,"azotar",-0.652,0,-0.652
"365","insulting","anger",0.652,"insultante",-0.652,0,-0.652
"366","growls","anger",0.649,"gruñidos",-0.649,0,-0.649
"367","executioner","anger",0.644,"verdugo",-0.644,0,-0.644
"368","twat","anger",0.644,"coño",-0.644,0,-0.644
"369","doomsday","anger",0.643,"día del juicio final",-0.643,0,-0.643
"370","obscenity","anger",0.641,"obscenidad",-0.641,0,-0.641
"371","accused","anger",0.641,"acusado",-0.641,0,-0.641
"372","feud","anger",0.641,"feudo",-0.641,0,-0.641
"373","daemon","anger",0.641,"demonio",-0.641,0,-0.641
"374","havoc","anger",0.641,"estragos",-0.641,0,-0.641
"375","shackle","anger",0.641,"encadenar",-0.641,0,-0.641
"376","inexcusable","anger",0.641,"inexcusable",-0.641,0,-0.641
"377","indignant","anger",0.641,"indignado",-0.641,0,-0.641
"378","grr","anger",0.641,"grr",-0.641,0,-0.641
"379","expulsion","anger",0.641,"expulsión",-0.641,0,-0.641
"380","bombard","anger",0.641,"bombardear",-0.641,0,-0.641
"381","spat","anger",0.641,"escupió",-0.641,0,-0.641
"382","arson","anger",0.641,"incendio provocado",-0.641,0,-0.641
"383","reprimand","anger",0.641,"reprimenda",-0.641,0,-0.641
"384","somad","anger",0.637,"tan enojado",-0.637,0,-0.637
"385","frustrated","anger",0.636,"frustrado",-0.636,0,-0.636
"386","batter","anger",0.636,"masa",-0.636,0,-0.636
"387","kicking","anger",0.636,"pateando",-0.636,0,-0.636
"388","anarchy","anger",0.636,"anarquía",-0.636,0,-0.636
"389","spanking","anger",0.636,"azotaina",-0.636,0,-0.636
"390","glaring","anger",0.636,"deslumbrador",-0.636,0,-0.636
"391","suicidal","anger",0.636,"suicida",-0.636,0,-0.636
"392","disgusting","anger",0.636,"desagradable",-0.636,0,-0.636
"393","wound","anger",0.636,"herida",-0.636,0,-0.636
"394","hanging","anger",0.636,"colgando",-0.636,0,-0.636
"395","poisoned","anger",0.636,"envenenado",-0.636,0,-0.636
"396","combatant","anger",0.636,"combatiente",-0.636,0,-0.636
"397","wrecked","anger",0.633,"destrozado",-0.633,0,-0.633
"398","inflict","anger",0.633,"infligir",-0.633,0,-0.633
"399","grievous","anger",0.632,"grave",-0.632,0,-0.632
"400","prosecute","anger",0.63,"enjuiciar",-0.63,0,-0.63
"401","agitated","anger",0.63,"agitado",-0.63,0,-0.63
"402","cheat","anger",0.63,"hacer trampa",-0.63,0,-0.63
"403","swastika","anger",0.627,"esvástica",-0.627,0,-0.627
"404","injure","anger",0.625,"lesionar",-0.625,0,-0.625
"405","indict","anger",0.625,"procesar",-0.625,0,-0.625
"406","scourge","anger",0.625,"azotar",-0.625,0,-0.625
"407","provocation","anger",0.625,"provocación",-0.625,0,-0.625
"408","suffocation","anger",0.625,"asfixia",-0.625,0,-0.625
"409","strife","anger",0.625,"lucha",-0.625,0,-0.625
"410","raid","anger",0.625,"redada",-0.625,0,-0.625
"411","enslaved","anger",0.625,"esclavizado",-0.625,0,-0.625
"412","cursing","anger",0.625,"maldiciendo",-0.625,0,-0.625
"413","defamatory","anger",0.625,"difamatorio",-0.625,0,-0.625
"414","harassing","anger",0.625,"acosando",-0.625,0,-0.625
"415","thundering","anger",0.625,"tremendo",-0.625,0,-0.625
"416","betray","anger",0.625,"traicionar",-0.625,0,-0.625
"417","arsehole","anger",0.624,"gilipollas",-0.624,0,-0.624
"418","theft","anger",0.621,"robo",-0.621,0,-0.621
"419","insane","anger",0.621,"loco",-0.621,0,-0.621
"420","retaliation","anger",0.621,"represalias",-0.621,0,-0.621
"421","irritate","anger",0.621,"irritar",-0.621,0,-0.621
"422","deprivation","anger",0.621,"privación",-0.621,0,-0.621
"423","fiend","anger",0.621,"demonio",-0.621,0,-0.621
"424","jerk","anger",0.621,"imbécil",-0.621,0,-0.621
"425","convict","anger",0.621,"condenar",-0.621,0,-0.621
"426","cussed","anger",0.619,"terco",-0.619,0,-0.619
"427","turmoil","anger",0.618,"confusión",-0.618,0,-0.618
"428","smack","anger",0.615,"tortazo",-0.615,0,-0.615
"429","retribution","anger",0.614,"venganza",-0.614,0,-0.614
"430","rebellion","anger",0.609,"rebelión",-0.609,0,-0.609
"431","oppressor","anger",0.609,"opresor",-0.609,0,-0.609
"432","gang","anger",0.609,"pandilla",-0.609,0,-0.609
"433","slavery","anger",0.609,"esclavitud",-0.609,0,-0.609
"434","intolerable","anger",0.609,"intolerable",-0.609,0,-0.609
"435","adverse","anger",0.609,"adverso",-0.609,0,-0.609
